epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,559.236,1.86722,4.32539,1.55327,0.20277,0.45656,0.15226,0.10375,1.18766,2.90691,1.22827,9.174e-05,9.174e-05,9.174e-05
2,1100.31,1.4121,2.43022,1.26495,0.2271,0.67377,0.33036,0.22668,1.11874,1.90624,1.17537,0.000180755,0.000180755,0.000180755
3,1645.39,1.36411,2.06887,1.2385,0.29939,0.71869,0.41056,0.27762,1.17518,1.77222,1.2214,0.000266101,0.000266101,0.000266101
4,2183.03,1.32514,1.88637,1.21095,0.32837,0.62639,0.43795,0.28412,1.21803,1.70585,1.22579,0.000261487,0.000261487,0.000261487
5,2715.93,1.30208,1.80509,1.21766,0.33482,0.7507,0.45664,0.31495,1.06404,1.60703,1.13315,0.000255982,0.000255982,0.000255982
6,3171.9,1.26507,1.68553,1.1924,0.38048,0.79195,0.49273,0.33308,1.12174,1.52013,1.17762,0.000250478,0.000250478,0.000250478
7,3629.08,1.24973,1.60952,1.17036,0.41949,0.79975,0.56125,0.38693,1.09063,1.40412,1.1261,0.000244974,0.000244974,0.000244974
8,4066.28,1.24848,1.5595,1.17598,0.43324,0.79283,0.5599,0.38519,1.06799,1.38471,1.11914,0.000239469,0.000239469,0.000239469
9,4505.2,1.21467,1.4754,1.16306,0.43099,0.8214,0.53825,0.3732,0.98935,1.34574,1.11349,0.000233965,0.000233965,0.000233965
10,4944.4,1.23681,1.45769,1.15799,0.42681,0.82306,0.54778,0.37084,1.09168,1.34647,1.11926,0.00022846,0.00022846,0.00022846
11,5391.1,1.20952,1.41833,1.15414,0.43957,0.86587,0.55175,0.38647,1.01434,1.29101,1.10478,0.000222956,0.000222956,0.000222956
12,5848.89,1.19114,1.38435,1.145,0.45874,0.8525,0.60332,0.42664,0.99635,1.25068,1.09409,0.000217452,0.000217452,0.000217452
13,6287.07,1.17122,1.35219,1.14038,0.44394,0.84687,0.58318,0.40824,1.01158,1.25146,1.10295,0.000211947,0.000211947,0.000211947
14,6812.6,1.16859,1.34054,1.13849,0.42652,0.86597,0.50514,0.35437,0.99395,1.29941,1.10188,0.000206443,0.000206443,0.000206443
15,7433.66,1.17893,1.30913,1.14159,0.47178,0.86476,0.58332,0.40723,1.01105,1.19532,1.11581,0.000200938,0.000200938,0.000200938
16,8062.94,1.1751,1.29256,1.13406,0.43722,0.8684,0.51882,0.3555,1.0372,1.25927,1.09275,0.000195434,0.000195434,0.000195434
17,8637.87,1.1299,1.25965,1.10692,0.43805,0.88498,0.542,0.37975,1.00187,1.22847,1.09326,0.00018993,0.00018993,0.00018993
